PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,3/15/2024,02:37.9,1,1,"Simpson, Max",811707,Right,TOW_TIG,"Groves, Nick",1000240516,Left,NIA_EAG,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,88.68263,-0.558673,-3.810556,1990.600228,,,5.71108,2.60545,6.54441,,,,4.35088,1.07013,81.06359,-2.593438,0.461893,0.42328,,,,,,,,,,,,-13.35658,13.27076,-2.35069,50,5.66733,7.66923,-128.80813,-1.42152,-22.51508,25.91615,-9.80363,TOW_TIG,NIA_EAG,John B. Schuerholz Park,D1,CAA,20240315-John B. Schuerholz Park-1,72aa36d0-e2e5-11ee-8017-4d1afc55ce76,89.0484,,,7.61903,,,,,,,71aad76e-cb2b-4f8d-aa88-6b684ca0d7f2,3/15/2024,02:37.9,2024-03-15T12:02:37.8620000-04:00,2024-03-15T16:02:37.8620000Z,,v3,471469,471382,15 March 2024 15:00-niagara@towson,"Heckelman, Brian",1000237626,Right,TOW_TIG,c74993b6-ce83-437e-9f31-b9fd1685e441,53.95587,-129.60161,12.95807,5.70626,-1.12136,-4.90181,-2.59605,8.35858,-11.25754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
2,3/15/2024,02:48.7,1,2,"Simpson, Max",811707,Right,TOW_TIG,"Groves, Nick",1000240516,Left,NIA_EAG,Undefined,1,Top,0,1,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.95972,-3.257059,-3.969686,1996.322412,,,5.73023,2.50869,6.54966,,,,1.9783,1.451,82.47804,-5.079164,1.660849,0.417498,,,,,,,,,,,,-17.49064,14.14784,-2.24718,50,5.50039,7.88726,-130.52804,-7.59546,-30.30972,26.32935,-7.65707,TOW_TIG,NIA_EAG,John B. Schuerholz Park,D1,CAA,20240315-John B. Schuerholz Park-1,791743a0-e2e5-11ee-8017-4d1afc55ce76,90.28166,,,7.48168,,,,,,,71aad76e-cb2b-4f8d-aa88-6b684ca0d7f2,3/15/2024,02:48.7,2024-03-15T12:02:48.7020000-04:00,2024-03-15T16:02:48.7020000Z,,v3,471469,471382,15 March 2024 15:00-niagara@towson,"Heckelman, Brian",1000237626,Right,TOW_TIG,33277ae0-524e-4da1-a0d9-40190b7b926a,53.95365,-131.32312,13.16468,5.72627,-7.36423,-3.82854,-2.49917,8.80255,-15.15486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
3,3/15/2024,03:05.0,1,3,"Simpson, Max",811707,Right,TOW_TIG,"Groves, Nick",1000240516,Left,NIA_EAG,Undefined,1,Top,0,1,1,Slider,,BallCalled,Undefined,Undefined,Undefined,0,0,,78.60812,-1.304378,-1.392524,1900.40821,,,6.02966,2.452,6.03651,,,,1.90272,1.96481,71.75253,-7.824986,0.342594,0.484297,,,,,,,,,,,,-5.39709,6.12351,-2.34858,50,5.909,2.42479,-114.10874,-3.61884,-7.05675,22.62953,-24.16749,TOW_TIG,NIA_EAG,John B. Schuerholz Park,D1,CAA,20240315-John B. Schuerholz Park-1,82d96ee0-e2e5-11ee-8017-4d1afc55ce76,77.82913,,,6.85559,,,,,,,71aad76e-cb2b-4f8d-aa88-6b684ca0d7f2,3/15/2024,03:05.0,2024-03-15T12:03:04.9630000-04:00,2024-03-15T16:03:04.9630000Z,,v3,471469,471382,15 March 2024 15:00-niagara@towson,"Heckelman, Brian",1000237626,Right,TOW_TIG,78df3ef6-a4bb-4bc1-be8d-6a4bb2ec065a,54.46096,-114.99001,11.31477,6.0316,-2.67767,-12.08375,-2.44836,2.69961,-3.52837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
4,3/15/2024,03:17.5,1,4,"Simpson, Max",811707,Right,TOW_TIG,"Groves, Nick",1000240516,Left,NIA_EAG,Undefined,1,Top,0,2,1,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,89.8386,-0.603152,-3.525904,2021.171026,,,5.69821,2.67357,6.54216,,,,4.50651,1.53473,81.09103,-2.206478,1.041276,0.420399,,,,,,,,,,,,-14.19611,14.35127,-2.43867,50,5.65223,7.02044,-130.37244,-1.42129,-24.18235,30.03651,-7.72743,TOW_TIG,NIA_EAG,John B. Schuerholz Park,D1,CAA,20240315-John B. Schuerholz Park-1,8a4993d0-e2e5-11ee-8017-4d1afc55ce76,89.65864,,,8.74757,,,,,,,71aad76e-cb2b-4f8d-aa88-6b684ca0d7f2,3/15/2024,03:17.5,2024-03-15T12:03:17.4850000-04:00,2024-03-15T16:03:17.4850000Z,,v3,471469,471382,15 March 2024 15:00-niagara@towson,"Heckelman, Brian",1000237626,Right,TOW_TIG,3beadddd-0e89-465f-b6a7-59ae1d3e4c30,53.95637,-131.28079,15.01825,5.69168,-1.1876,-3.86372,-2.66204,7.75174,-12.09117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
5,3/15/2024,03:32.0,1,5,"Simpson, Max",811707,Right,TOW_TIG,"Groves, Nick",1000240516,Left,NIA_EAG,Undefined,1,Top,0,3,1,Fastball,,InPlay,Undefined,GroundBall,Single,0,0,,90.30242,-2.76668,-5.381626,2089.0309,,,5.54778,2.58825,6.8702,,,,2.55805,-0.13123,81.12281,-3.993474,-0.583561,0.417685,61.58581,-12.596068,37.425768,,,,,17.71227,5.72965,26.26008,0.144327,-15.87564,16.30824,-2.25459,50,5.3688,11.33984,-130.65715,-6.31873,-27.03616,31.34016,-4.40119,TOW_TIG,NIA_EAG,John B. Schuerholz Park,D1,CAA,20240315-John B. Schuerholz Park-1,92e1be00-e2e5-11ee-8017-4d1afc55ce76,90.24134,2.8574,,9.17961,,,,,,,71aad76e-cb2b-4f8d-aa88-6b684ca0d7f2,3/15/2024,03:32.0,2024-03-15T12:03:31.9690000-04:00,2024-03-15T16:03:31.9690000Z,GroundBall,v3,471469,471382,15 March 2024 15:00-niagara@towson,"Heckelman, Brian",1000237626,Right,TOW_TIG,f9850e4b-591c-4320-8682-bdec2b90a5c0,53.63052,-131.5251,15.67008,5.54211,-6.19684,-2.20059,-2.57901,12.0886,-13.51808,,5.72101,70.36079,,,,,,,,2.85972,-19.79802,,,,,,,,0.05909,53.84504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,Estimated,Estimated,,,
6,3/15/2024,04:05.3,2,1,"Simpson, Max",811707,Right,TOW_TIG,"Desjardins, Brady",10026092,Right,NIA_EAG,Undefined,1,Top,0,0,0,Slider,,BallCalled,Undefined,Undefined,Undefined,0,0,,79.29649,-2.154951,-4.257539,1975.524836,,,5.74063,2.5955,6.29633,,,,1.12781,-0.41547,72.50286,-8.039627,-2.268285,0.478348,,,,,,,,,,,,-7.03166,7.68697,-2.2874,50,5.56661,8.16764,-114.86487,-5.19543,-9.34213,22.38249,-21.96127,TOW_TIG,NIA_EAG,John B. Schuerholz Park,D1,CAA,20240315-John B. Schuerholz Park-1,a6c7bc80-e2e5-11ee-8017-4d1afc55ce76,78.79716,,,6.79363,,,,,,,71aad76e-cb2b-4f8d-aa88-6b684ca0d7f2,3/15/2024,04:05.3,2024-03-15T12:04:05.3020000-04:00,2024-03-15T16:04:05.3020000Z,,v3,471469,471382,15 March 2024 15:00-niagara@towson,"Heckelman, Brian",1000237626,Right,TOW_TIG,3fa689e5-7507-496f-b6c9-da876107c8ca,54.20216,-115.6808,11.19124,5.74141,-4.39485,-10.98064,-2.59135,8.5082,-4.67107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
7,3/15/2024,04:54.4,2,2,"Simpson, Max",811707,Right,TOW_TIG,"Desjardins, Brady",10026092,Right,NIA_EAG,Undefined,1,Top,0,1,0,Fastball,,StrikeSwinging,Undefined,Undefined,Undefined,1,0,,88.74114,-1.972838,-5.442455,1955.135248,,,5.61604,2.62271,6.60229,,,,2.95836,-0.13796,81.32607,-3.994869,-0.580794,0.422828,,,,,,,,,,,,-15.54186,13.67115,-2.26113,50,5.47616,11.23922,-128.61415,-4.61702,-26.22524,24.82753,-9.10544,TOW_TIG,NIA_EAG,John B. Schuerholz Park,D1,CAA,20240315-John B. Schuerholz Park-1,c40e8c60-e2e5-11ee-8017-4d1afc55ce76,89.14365,,,7.41506,,,,,,,71aad76e-cb2b-4f8d-aa88-6b684ca0d7f2,3/15/2024,04:54.4,2024-03-15T12:04:54.3950000-04:00,2024-03-15T16:04:54.3950000Z,,v3,471469,471382,15 March 2024 15:00-niagara@towson,"Heckelman, Brian",1000237626,Right,TOW_TIG,bcb1aeb8-1c61-4823-bf2e-e0c44a159407,53.89965,-129.36474,12.41377,5.61158,-4.34175,-4.55272,-2.6129,12.03206,-13.11262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.21206,2.145258,0.73769,1.407568,-0.94018,2.79136,0.15737,-0.94409,5.8572,1.173,127.27374,4.84169,4.45819,-0.59584,103.46216,-8.92175,5.8645,14.53653,-10.83939,1.04989,-0.93565,2.37069,Low,Low,Low,,,Medium,High,High
8,3/15/2024,05:22.8,2,3,"Simpson, Max",811707,Right,TOW_TIG,"Desjardins, Brady",10026092,Right,NIA_EAG,Undefined,1,Top,1,1,1,Slider,,BallCalled,Undefined,Undefined,Undefined,0,0,,77.46669,-0.792702,-0.574727,1888.704057,,,5.75257,2.20315,6.30783,,,,2.2177,2.0093,72.54412,-7.036983,0.154497,0.482131,,,,,,,,,,,,-2.2352,6.38843,-2.16294,50,5.67803,0.99791,-112.83016,-2.48747,-2.94107,16.54281,-23.76809,TOW_TIG,NIA_EAG,John B. Schuerholz Park,D1,CAA,20240315-John B. Schuerholz Park-1,d503faa0-e2e5-11ee-8017-4d1afc55ce76,78.17878,,,4.92257,,,,,,,71aad76e-cb2b-4f8d-aa88-6b684ca0d7f2,3/15/2024,05:22.8,2024-03-15T12:05:22.8360000-04:00,2024-03-15T16:05:22.8360000Z,,v3,471469,471382,15 March 2024 15:00-niagara@towson,"Heckelman, Brian",1000237626,Right,TOW_TIG,36fb11be-e74a-4b86-a588-d90e4a8351e9,54.19234,-113.44317,8.2714,5.75389,-1.60673,-11.88405,-2.20194,1.10689,-1.47053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
9,3/15/2024,05:38.4,2,4,"Simpson, Max",811707,Right,TOW_TIG,"Desjardins, Brady",10026092,Right,NIA_EAG,Undefined,1,Top,1,2,1,Slider,,BallCalled,Undefined,Undefined,Undefined,0,0,,77.30673,-2.08788,-2.269576,1979.467123,,,5.62025,2.75286,6.17167,,,,0.91015,1.27234,71.61131,-8.277106,-0.933696,0.488105,,,,,,,,,,,,-4.46642,7.50059,-2.58497,50,5.44489,4.20196,-112.31012,-5.02148,-5.74183,19.10293,-22.53162,TOW_TIG,NIA_EAG,John B. Schuerholz Park,D1,CAA,20240315-John B. Schuerholz Park-1,de4a6630-e2e5-11ee-8017-4d1afc55ce76,77.22197,,,5.69542,,,,,,,71aad76e-cb2b-4f8d-aa88-6b684ca0d7f2,3/15/2024,05:38.4,2024-03-15T12:05:38.3570000-04:00,2024-03-15T16:05:38.3570000Z,,v3,471469,471382,15 March 2024 15:00-niagara@towson,"Heckelman, Brian",1000237626,Right,TOW_TIG,938cc778-46f3-4609-8c6e-860a2b365072,54.32825,-113.04392,9.55147,5.62115,-4.15598,-11.26581,-2.75061,4.42252,-2.87092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
10,3/15/2024,05:56.7,2,5,"Simpson, Max",811707,Right,TOW_TIG,"Desjardins, Brady",10026092,Right,NIA_EAG,Undefined,1,Top,1,3,1,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.63714,-2.135035,-5.429053,2021.728284,,,5.58984,2.50903,6.60518,,,,2.77355,-0.07365,82.87628,-4.155085,-0.206898,0.416714,,,,,,,,,,,,-16.46528,13.06379,-2.14956,50,5.43894,11.27412,-130.0274,-5.06,-28.6682,22.9192,-9.42827,TOW_TIG,NIA_EAG,John B. Schuerholz Park,D1,CAA,20240315-John B. Schuerholz Park-1,e931fea0-e2e5-11ee-8017-4d1afc55ce76,90.45155,,,6.76086,,,,,,,71aad76e-cb2b-4f8d-aa88-6b684ca0d7f2,3/15/2024,05:56.7,2024-03-15T12:05:56.6820000-04:00,2024-03-15T16:05:56.6820000Z,,v3,471469,471382,15 March 2024 15:00-niagara@towson,"Heckelman, Brian",1000237626,Right,TOW_TIG,dd5f5125-4d4b-4f93-8d5c-7c75bd42b4cc,53.89842,-130.71274,11.4596,5.58603,-4.77807,-4.71413,-2.49951,12.13137,-14.3341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
