GameID,PlayerName,W-L,EarnedRuns,InningsPitched,TBF,ERA,TotalPitches,Strikes,Balls,FoulsAfter2Strikes,HitBatters,Strike%,Ball%,FirstPitchStrikes,FirstPitchBalls,FirstPitchStrike%,FirstPitchBall%,First2of3StrikesOrInPlay,AtBatEfficiency,AtBatEfficiency%,Strikeouts,Walks,HomeRuns,Strikeout%,Walk%,FIP,Swings,Whiffs,Whiff%,CalledStrikes,CSW%,InZoneSwings,InZoneWhiffs,IZWhiff%,OutZoneSwings,OutZonePitches,Chase%,FBnVAA,FBVAAUpper,FBVAAMid,FBVAALower,Fastballs,FastballAvgVelo,FastballMaxVelo,FastballMinVelo,FastballAvgIVB,FastballMaxIVB,FastballMinIVB,FastballAvgHB,FastballMaxHB,FastballMinHB,FastballAvgSpin,FastballMaxSpin,FastballMinSpin,FastballInZone,FastballInZone%,FastballAvgReleaseHeight,FastballAvgExtension,Cutters,CutterAvgVelo,CutterMaxVelo,CutterMinVelo,CutterAvgIVB,CutterMaxIVB,CutterMinIVB,CutterAvgHB,CutterMaxHB,CutterMinHB,CutterAvgSpin,CutterMaxSpin,CutterMinSpin,CutterInZone,CutterInZone%,CutterAvgReleaseHeight,CutterAvgExtension,Sinkers,SinkerAvgVelo,SinkerMaxVelo,SinkerMinVelo,SinkerAvgIVB,SinkerMaxIVB,SinkerMinIVB,SinkerAvgHB,SinkerMaxHB,SinkerMinHB,SinkerAvgSpin,SinkerMaxSpin,SinkerMinSpin,SinkerInZone,SinkerInZone%,SinkerAvgReleaseHeight,SinkerAvgExtension,Sliders,SliderAvgVelo,SliderMaxVelo,SliderMinVelo,SliderAvgIVB,SliderMaxIVB,SliderMinIVB,SliderAvgHB,SliderMaxHB,SliderMinHB,SliderAvgSpin,SliderMaxSpin,SliderMinSpin,SliderInZone,SliderInZone%,SliderAvgReleaseHeight,SliderAvgExtension,PA,AB,H,TB,1B,2B,3B,HR,RBI,BB,K,HBP,SF,SH,GDP,AVG,BB%,K%,OBP,SLG,OPS,ISO,BABIP,wOBA,AvgExitVelocity,AvgLaunchAngle
20240315-John B. Schuerholz Park-1,"Simpson, Max",1-0,1,6.0,25,1.5,100,57,37,6,0,56.99999999999999,37.0,19,6,76.0,24.0,12,11,44.0,8,1,0,32.0,4.0,1.0033333333333334,41,10,24.390243902439025,22,32.0,18,2,11.11111111111111,23,70,32.857142857142854,-0.10353333659244485,-4.099455,-4.3544875,-5.45437025,46,88.36422173913043,90.30882,85.01113,13.290722222222222,15.60938,10.18721,11.19306,15.55942,6.65933,1984.5660308913043,2089.0309,1891.693914,19,41.30434782608695,5.555172608695652,6.729965652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,78.0003114893617,80.28196,74.25051,3.276447142857143,9.08024,-6.72567,-12.290907142857144,-10.59312,-16.11245,1950.0510157234044,2114.097269,1634.584458,10,21.27659574468085,5.6781682978723405,6.273370638297872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240315-John B. Schuerholz Park-1,"Ramirez, Max",0-1,4,5.0,23,7.2,96,55,35,5,1,57.291666666666664,36.45833333333333,12,12,52.17391304347826,52.17391304347826,14,10,43.47826086956522,6,2,0,26.08695652173913,8.695652173913043,2.57,46,11,23.91304347826087,14,26.041666666666668,27,5,18.51851851851852,19,62,30.64516129032258,0.06883323998285697,-3.402133571428571,-4.20599825,-4.149611,41,88.58847365853659,90.36011,85.57703,0,0,0,0,0,0,2232.5725884878048,2363.791287,2025.305178,12,29.268292682926827,6.284422195121951,6.078524146341463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,80.75796777777778,83.17375,76.35382,0,0,0,0,0,0,2333.8252138333332,2502.630162,1890.342961,9,50.0,6.079647777777778,5.526877222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240315-John B. Schuerholz Park-1,"Veselinovic, Nick",0-1,4,0.3333333333333333,6,108.0,19,11,5,3,0,57.89473684210527,26.31578947368421,5,1,83.33333333333334,16.666666666666664,2,3,50.0,0,0,0,0.0,0.0,3.17,10,0,0.0,4,21.052631578947366,7,0,0.0,3,10,30.0,0.14286843641539085,-4.734088,-4.701111,-5.7692175,8,87.59269125,88.72165,86.13629,17.12079125,20.64911,14.31835,-7.644651250000001,-4.52099,-11.73642,2295.1343655,2360.422004,2231.639855,4,50.0,5.57313875,6.7872575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,82.317184,83.37166,81.5037,13.094502,16.39733,10.35619,-1.8547799999999999,2.26961,-3.50981,2218.8308278,2248.36955,2190.196226,3,60.0,5.5129459999999995,6.352004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240315-John B. Schuerholz Park-1,"Dickinson, Jack",0-1,0,2.6666666666666665,11,0.0,48,26,18,4,0,54.166666666666664,37.5,4,7,36.36363636363637,63.63636363636363,4,4,36.36363636363637,2,1,0,18.181818181818183,9.090909090909092,2.795,20,4,20.0,10,29.166666666666668,14,3,21.428571428571427,6,30,20.0,-0.2269894353512964,-4.897833,-5.228108,-6.1109025,12,87.33345,88.19023,86.16908,18.0861325,22.46186,12.38812,4.978915833333334,14.15831,-1.65118,2240.00219125,2338.952968,2002.186303,7,58.333333333333336,5.8468350000000004,6.58161,10,86.212746,87.2212,85.04585,20.315166,22.0071,18.95009,1.3364099999999999,6.80193,-5.86603,2312.4089131,2371.509987,2201.197878,3,30.0,5.828848,6.486983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,79.8201068,82.97831,76.62954,3.7102468,13.45347,-1.58079,-7.0627224,1.70599,-12.03973,2414.78568084,2617.015612,2202.61436,8,32.0,5.705934,5.8801964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240315-John B. Schuerholz Park-1,"Selis, Brett",1-0,5,2.3333333333333335,13,19.285714285714285,29,20,9,0,0,68.96551724137932,31.03448275862069,7,6,53.84615384615385,46.15384615384615,3,12,92.3076923076923,1,0,1,7.6923076923076925,0.0,7.884285714285714,15,3,20.0,5,27.586206896551722,8,0,0.0,7,20,35.0,-0.08308285023733247,-4.552222,-5.552257,-5.7359665,11,88.59649545454545,89.55041,87.81167,11.34062,16.56792,8.77579,9.332726363636365,12.42674,4.02209,1939.1409421818182,2165.438589,1765.92841,5,45.45454545454545,5.276959090909091,5.670241818181818,2,86.24555,86.86836,85.62274,12.03999,13.13631,10.94367,3.963505,6.36189,1.56512,1933.997554,2139.831083,1728.164025,1,50.0,5.3237000000000005,5.46349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,82.486455,83.69284,81.49503,3.7968275,7.40528,-1.17622,-5.27661125,-1.22799,-9.79001,2336.648360125,2390.232255,2273.290477,2,25.0,5.27582125,4.91777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240315-John B. Schuerholz Park-1,"Rebok, Justin",1-0,0,0.6666666666666666,2,0.0,5,3,2,0,0,60.0,40.0,1,1,50.0,50.0,0,2,100.0,0,0,0,0.0,0.0,3.17,2,0,0.0,1,20.0,1,0,0.0,1,4,25.0,0,0,0,0,1,86.90673,86.90673,86.90673,18.41178,18.41178,18.41178,8.7967,8.7967,8.7967,1857.500079,1857.500079,1857.500079,0,0,6.23527,5.55862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,79.61904,79.61904,79.61904,6.23213,6.23213,6.23213,-3.59295,-3.59295,-3.59295,1998.809578,1998.809578,1998.809578,1,100.0,6.08354,5.07464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240315-John B. Schuerholz Park-1,"Groves, Nick",0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,3,0,0,0,0,0,0,0,0,0,1,0.6,0.0,0.0,0.6,0.6,1.2,0.0,0.6,0.528,61.872780000000006,-6.693162833333333
20240315-John B. Schuerholz Park-1,"Desjardins, Brady",0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,5,1,0,0,1,4,0,2,0,0,0,0,0.4,0.0,40.0,0.4,1.0,1.4,0.6,0.5,0.586,87.61949333333332,-2.9659600000000004
20240315-John B. Schuerholz Park-1,"Rataczak, Eric",0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,5,1,2,0,0,1,0,1,0,0,0,0,0.6,0.0,20.0,0.6,1.0,1.6,0.4,0.75,0.6759999999999999,91.565945,2.133473833333334
20240315-John B. Schuerholz Park-1,"Schrader, Gavin",0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.9189875,1.9275884999999997
