PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-10-16,16:06:37.73,1,1,"Chatterton, Christian",10149263,Right,AUB_TIG,"Carter, Bristol",806043,Right,AUB_PRC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.06262,-5.625699,-3.749333,2335.167823,205.691319,12:45,6.19033,0.88303,6.05749,-10.34229,24.24013,10.99335,0.09327,-1.67624,81.5842,-7.695063,-1.776853,0.423252,,,,,,,,,,,,-6.95146,14.80969,-0.59729,50,5.74568,8.12863,-131.1822,-13.14348,-11.85077,33.35997,-6.92668,AUB_TIG,AUB_PRC,PlainsmanPark,TeamExclusive,Team,20241016-PlainsmanPark-Private-1,88adf5e0-8c02-11ef-b938-5dca1d2fa61f,89.05434,,,9.47841,,,,,,,cfa980eb-e86f-4151-a496-355d77212e40,2024-10-16,21:06:37.73,2024-10-16T16:06:37.7340000-05:00,2024-10-16T21:06:37.7340000Z,,v3,471236,,,"Irish, Ike",702610,Right,AUB_TIG,d50652b2-82ed-4d03-8d2f-e9abdfb41699,54.44016,-132.30653,16.67998,6.18472,-12.91003,-3.46334,-0.87798,8.52804,-5.92538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-10-16,16:06:53.22,1,2,"Chatterton, Christian",10149263,Right,AUB_TIG,"Carter, Bristol",806043,Right,AUB_PRC,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.35946,-3.179248,-2.513068,2422.45507,213.341881,1:00,6.20909,1.01077,5.79039,-15.18233,19.22891,11.77075,1.98044,-0.34767,81.86972,-6.108866,-0.406407,0.422203,68.40455,63.821865,118.326783,5010.482013,,,,,28.21685,,,-6.87288,11.27449,-0.81097,50,5.9381,5.27873,-132.12877,-7.77276,-11.88794,33.81242,-12.67272,AUB_TIG,AUB_PRC,PlainsmanPark,TeamExclusive,Team,20241016-PlainsmanPark-Private-1,91ec9940-8c02-11ef-b938-5dca1d2fa61f,89.27557,50.87544,,9.48974,,,,1.81302,2.20572,0.37272,cfa980eb-e86f-4151-a496-355d77212e40,2024-10-16,21:06:53.22,2024-10-16T16:06:53.2240000-05:00,2024-10-16T21:06:53.2240000Z,,v3,471236,,,"Irish, Ike",702610,Right,AUB_TIG,80ff05b8-41b2-4b4b-aa5c-eaecb2680f23,54.70707,-133.32789,16.90621,6.20578,-7.32333,-6.33636,-1.00565,5.70033,-5.94397,334.665076,1.81302,-21.00191,-5.92095,2.62077,-1.52663,4.58917,-9.12396,8.68738,-3.22809,2.20572,90.03569,-29.61489,3.81825,-0.86344,0.76554,-1.16323,1.00151,-0.35104,0.37273,38.96015,-7.43311,2.61365,-1.33771,3.86537,-7.64171,7.25809,-2.69308,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2024-10-16,16:07:13.55,1,3,"Chatterton, Christian",10149263,Right,AUB_TIG,"Carter, Bristol",806043,Right,AUB_PRC,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.0441,-2.164295,-1.408812,2282.374273,212.757277,1:00,6.26687,1.04511,5.69245,-11.26914,22.55375,13.69469,3.30912,0.87308,82.62568,-4.390651,1.039125,0.418578,66.36489,33.754763,176.814686,3449.128602,,,,,39.26662,,,-7.42028,12.53028,-0.93543,50,6.07824,2.65833,-133.33663,-5.3059,-13.11633,33.51836,-10.02511,AUB_TIG,AUB_PRC,PlainsmanPark,TeamExclusive,Team,20241016-PlainsmanPark-Private-1,9e0844e0-8c02-11ef-b938-5dca1d2fa61f,90.04871,25.0062,,9.41842,,,,1.80361,3.35088,-0.88379,cfa980eb-e86f-4151-a496-355d77212e40,2024-10-16,21:07:13.55,2024-10-16T16:07:13.5530000-05:00,2024-10-16T21:07:13.5530000Z,,v3,471236,,,"Irish, Ike",702610,Right,AUB_TIG,80d05e7e-1f54-41a1-81c0-41780211e024,54.80516,-134.53914,16.75918,6.26215,-4.94624,-5.01256,-1.03924,3.12889,-6.55816,319.808069,1.80361,-80.80159,5.91185,-0.12509,-0.05,0.04348,-0.01576,0.01078,-0.00441,3.35088,54.08317,-26.20523,2.96435,-0.62887,0.1216,-0.02697,0.01039,-0.00322,-0.88379,4.49674,-5.53254,1.5274,-0.3581,0.07603,-0.01557,0.00342,-0.00043,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2024-10-16,16:07:35.74,1,4,"Chatterton, Christian",10149263,Right,AUB_TIG,"Carter, Bristol",806043,Right,AUB_PRC,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.28889,1.65276,-2.177889,2629.520445,12.215079,6:30,6.17153,1.03526,5.25122,-52.10897,-8.80311,-2.19126,3.38374,-1.19486,74.72195,-7.779284,-2.566473,0.473636,,,,,,,,,,,,0.49161,-4.4387,-0.83367,50,6.28442,4.57707,-117.95307,1.48296,0.69299,22.31822,-38.43088,AUB_TIG,AUB_PRC,PlainsmanPark,TeamExclusive,Team,20241016-PlainsmanPark-Private-1,ab4b8090-8c02-11ef-b938-5dca1d2fa61f,79.58105,,,6.56694,,,,,,,cfa980eb-e86f-4151-a496-355d77212e40,2024-10-16,21:07:35.74,2024-10-16T16:07:35.7470000-05:00,2024-10-16T21:07:35.7470000Z,,v3,471236,,,"Irish, Ike",702610,Right,AUB_TIG,e2bed353-20e1-4953-b7f8-4afa7c35fd77,55.25111,-118.9425,11.15911,6.18091,3.18671,-19.21544,-1.03591,4.54635,0.3465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-10-16,16:07:51.92,1,5,"Chatterton, Christian",10149263,Right,AUB_TIG,"Carter, Bristol",806043,Right,AUB_PRC,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.75739,-3.769604,-3.309481,2320.339795,209.995253,1:00,6.21328,0.87983,5.82631,-9.553,24.29297,13.30544,1.90188,-1.09146,82.79816,-5.681759,-0.930365,0.418721,,,,,,,,,,,,-7.77654,13.88977,-0.61687,50,5.89874,7.07204,-132.64893,-8.93132,-13.69632,31.424,-7.71085,AUB_TIG,AUB_PRC,PlainsmanPark,TeamExclusive,Team,20241016-PlainsmanPark-Private-1,b4ee8b10-8c02-11ef-b938-5dca1d2fa61f,90.018,,,8.95922,,,,,,,cfa980eb-e86f-4151-a496-355d77212e40,2024-10-16,21:07:51.92,2024-10-16T16:07:51.9280000-05:00,2024-10-16T21:07:51.9280000Z,,v3,471236,,,"Irish, Ike",702610,Right,AUB_TIG,2bb67137-0fb5-48d1-8220-827e9d6373b7,54.67118,-133.75094,15.712,6.20721,-8.66091,-3.85542,-0.8733,7.55236,-6.84816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-10-16,16:08:20.70,1,6,"Chatterton, Christian",10149263,Right,AUB_TIG,"Carter, Bristol",806043,Right,AUB_PRC,Undefined,1,Top,0,3,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.8823,1.019448,-0.234368,2808.73818,21.972134,6:45,6.2276,0.86734,5.17299,-68.88665,-20.85867,-9.09225,1.44651,-0.11091,71.0532,-11.381842,-1.852583,0.498791,,,,,,,,,,,,4.46449,-10.28764,-0.83825,50,6.26943,0.82836,-112.99364,-0.48656,5.66222,24.23902,-45.22164,AUB_TIG,AUB_PRC,PlainsmanPark,TeamExclusive,Team,20241016-PlainsmanPark-Private-1,c61bd230-8c02-11ef-b938-5dca1d2fa61f,75.5676,,,6.8291,,,,,,,cfa980eb-e86f-4151-a496-355d77212e40,2024-10-16,21:08:20.70,2024-10-16T16:08:20.7070000-05:00,2024-10-16T21:08:20.7070000Z,,v3,471236,,,"Irish, Ike",702610,Right,AUB_TIG,5308b4f9-c396-4b95-83a7-9c5f937ac148,55.33187,-114.13168,12.11951,6.24243,1.63664,-22.61082,-0.8709,0.56252,2.83111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-10-16,16:08:47.15,2,1,"Chatterton, Christian",10149263,Right,AUB_TIG,"Rembert, Christopher",1000114553,Right,AUB_PRC,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.94047,2.465291,1.283274,2796.573681,18.507339,6:30,6.21699,0.84427,5.30944,-70.75795,-21.4497,-7.79225,2.63659,1.39968,69.49893,-10.354472,-0.104259,0.505395,,,,,,,,,,,,4.30646,-10.87615,-0.95499,50,6.39003,-2.1795,-111.46794,2.25892,5.28751,24.5434,-45.52785,AUB_TIG,AUB_PRC,PlainsmanPark,TeamExclusive,Team,20241016-PlainsmanPark-Private-1,d5e395e0-8c02-11ef-b938-5dca1d2fa61f,74.58013,,,7.44153,,,,,,,cfa980eb-e86f-4151-a496-355d77212e40,2024-10-16,21:08:47.15,2024-10-16T16:08:47.1530000-05:00,2024-10-16T21:08:47.1530000Z,,v3,471236,,,"Irish, Ike",702610,Right,AUB_TIG,7c38012c-503c-43f7-af9c-e229ad5425fe,55.19398,-112.60576,12.2717,6.23639,4.36957,-22.76393,-0.84827,-2.42462,2.64375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-10-16,16:09:02.76,2,2,"Chatterton, Christian",10149263,Right,AUB_TIG,"Rembert, Christopher",1000114553,Right,AUB_PRC,Undefined,1,Top,1,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.41333,-0.878109,-3.298371,2482.135796,254.365451,2:30,6.35623,0.76237,5.81214,-41.9729,6.21433,16.5971,2.04052,-0.92507,70.13175,-8.607053,-0.324202,0.499617,,,,,,,,,,,,-9.38851,3.91461,-0.50158,50,6.25932,5.77597,-110.82277,-2.9775,-11.6478,20.25196,-27.31743,AUB_TIG,AUB_PRC,PlainsmanPark,TeamExclusive,Team,20241016-PlainsmanPark-Private-1,df323ed0-8c02-11ef-b938-5dca1d2fa61f,75.44263,,,6.28158,,,,,,,cfa980eb-e86f-4151-a496-355d77212e40,2024-10-16,21:09:02.76,2024-10-16T16:09:02.7630000-05:00,2024-10-16T21:09:02.7630000Z,,v3,471236,,,"Irish, Ike",702610,Right,AUB_TIG,dd723c56-5bbe-4359-ada0-04a2ee8c5b54,54.68783,-111.67615,10.12598,6.36053,-1.8264,-13.65871,-0.75531,6.26678,-5.8239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-10-16,16:09:21.44,2,3,"Chatterton, Christian",10149263,Right,AUB_TIG,"Rembert, Christopher",1000114553,Right,AUB_PRC,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.50357,-3.766301,-2.201299,2387.910846,210.139597,1:00,6.2376,0.81428,5.78587,-9.24863,23.58104,12.95284,1.95525,-0.1553,83.80675,-5.627893,0.11645,0.412387,,,,,,,,,,,,-7.2565,13.55973,-0.64031,50,5.92101,4.58783,-135.16564,-9.06585,-13.1704,34.66275,-7.56337,AUB_TIG,AUB_PRC,PlainsmanPark,TeamExclusive,Team,20241016-PlainsmanPark-Private-1,ea47ec20-8c02-11ef-b938-5dca1d2fa61f,91.40072,,,9.69682,,,,,,,cfa980eb-e86f-4151-a496-355d77212e40,2024-10-16,21:09:21.44,2024-10-16T16:09:21.4470000-05:00,2024-10-16T21:09:21.4470000Z,,v3,471236,,,"Irish, Ike",702610,Right,AUB_TIG,3857975f-8075-44dc-93a7-63aa6764ed9e,54.70958,-136.36805,17.33138,6.23095,-8.80348,-3.78169,-0.80738,5.04469,-6.5852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-10-16,16:09:37.49,2,4,"Chatterton, Christian",10149263,Right,AUB_TIG,"Rembert, Christopher",1000114553,Right,AUB_PRC,Undefined,1,Top,1,1,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.56865,1.293232,-0.519897,2480.633103,20.041656,6:45,6.10329,0.92112,5.1622,-53.19881,-9.10138,-3.80319,2.88755,0.11483,74.25172,-8.315507,-1.194531,0.477945,66.07491,-51.064886,65.760491,,,,,1.95849,1.95849,72.006917,0.03482,1.75599,-4.49662,-0.86957,50,6.18279,1.21935,-117.01695,0.67733,2.43935,21.69153,-38.42058,AUB_TIG,AUB_PRC,PlainsmanPark,TeamExclusive,Team,20241016-PlainsmanPark-Private-1,f3dfd310-8c02-11ef-b938-5dca1d2fa61f,78.86352,2.63623,,6.31693,,,,-0.26943,2.63623,-0.07936,cfa980eb-e86f-4151-a496-355d77212e40,2024-10-16,21:09:37.49,2024-10-16T16:09:37.4920000-05:00,2024-10-16T21:09:37.4920000Z,GroundBall,v3,471236,,,"Irish, Ike",702610,Right,AUB_TIG,d72a3dd0-2fd2-400b-bd88-4a3ad65ba866,55.34074,-118.00282,10.84576,6.11232,2.42352,-19.21029,-0.92247,1.10848,1.21968,,-0.27004,25.11267,,,,,,,,2.63808,-75.71144,,,,,,,,-0.08072,55.77533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
