Player,Team,PA,AB,H,TB,1B,2B,3B,HR,RBI,BB,K,HBP,SF,SH,GDP,AVG,BB%,K%,OBP,SLG,OPS,ISO,BABIP,wOBA,AvgExitVelocity,AvgLaunchAngle
,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Holmes, Christian",SOU_SUB,5,4,1,1,1,0,0,0,0,1,1,0,0,0,0,0.25,20.00%,20.00%,0.40,0.25,0.65,0.00,0.33,0.31,80.50,-2.30
"Martinez, Anthony",SOU_SUB,5,4,2,2,2,0,0,0,1,0,0,1,0,0,0,0.50,0.00%,0.00%,0.60,0.50,1.10,0.00,0.50,0.50,77.79,16.39
"Lemm, Johnny",SOU_SUB,5,4,0,0,0,0,0,0,1,0,1,0,0,1,0,0.00,0.00%,20.00%,0.00,0.00,0.00,0.00,0.00,0.00,75.98,6.89
"Macnamara, Nathaniel",SOU_SUB,5,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0.00,0.00%,40.00%,0.20,0.00,0.20,0.00,0.00,0.14,59.86,25.89
"Guejardo, Alex",ALV_CCO,5,4,1,2,0,1,0,0,3,0,1,1,0,0,0,0.25,0.00%,20.00%,0.40,0.50,0.90,0.25,0.33,0.39,69.01,18.23
"Baker, Cade",ALV_CCO,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00,0.00%,25.00%,0.00,0.00,0.00,0.00,0.00,0.00,72.65,11.75
"Sowell, Kolbie",ALV_CCO,4,3,2,3,1,1,0,0,0,1,1,0,0,0,0,0.67,25.00%,25.00%,0.75,1.00,1.75,0.33,1.00,0.70,75.08,6.07
"Olivarez, JJ",ALV_CCO,4,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0.33,25.00%,25.00%,0.50,0.33,0.83,0.00,0.50,0.39,73.34,28.18
"Ballard, Jason",SOU_SUB,4,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0.33,25.00%,25.00%,0.50,0.33,0.83,0.00,0.50,0.39,81.03,25.01
"Jones, Shane",SOU_SUB,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0.00,0.00%,75.00%,0.00,0.00,0.00,0.00,0.00,0.00,60.38,-35.49
"Galbriath, Ryan",SOU_SUB,4,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0.33,25.00%,25.00%,0.50,0.33,0.83,0.00,0.50,0.39,80.74,7.54
"Pearce, Evan",SOU_SUB,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00,0.00%,25.00%,0.00,0.00,0.00,0.00,0.00,0.00,71.97,1.05
"Agoto, Dacoda",ALV_CCO,4,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0.00,25.00%,25.00%,0.25,0.00,0.25,0.00,0.00,0.17,78.64,46.05
"Amencia, Damien",ALV_CCO,4,4,2,6,0,1,0,1,3,0,0,0,0,0,0,0.50,0.00%,0.00%,0.50,1.50,2.00,1.00,0.33,0.82,92.37,31.58
"Lozano, Ashton",ALV_CCO,4,3,1,1,1,0,0,0,1,1,1,0,0,0,0,0.33,25.00%,25.00%,0.50,0.33,0.83,0.00,0.50,0.39,72.02,42.66
"Rodriguez, Gabriel",ALV_CCO,4,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0.25,0.00%,0.00%,0.25,0.50,0.75,0.25,0.25,0.31,81.84,10.93
"Zarella, Tristian",ALV_CCO,4,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0.00,50.00%,0.00%,0.75,0.00,0.75,0.00,0.00,0.52,49.94,25.95
"Stewart, Tyler",SOU_SUB,4,3,2,2,2,0,0,0,1,1,0,0,0,0,0,0.67,25.00%,0.00%,0.75,0.67,1.42,0.00,0.67,0.61,70.28,5.54
"Carter, Bristol",AUB_PRC,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0.00,0.00%,33.33%,0.00,0.00,0.00,0.00,0.00,0.00,65.07,15.57
"Rembert, Christopher",AUB_PRC,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0.33,0.00%,0.00%,0.33,0.33,0.67,0.00,0.33,0.29,72.36,5.14
"Fralick, Chase",AUB_PRC,3,1,1,1,1,0,0,0,0,2,0,0,0,0,0,1.00,66.67%,0.00%,1.00,1.00,2.00,0.00,1.00,0.75,103.96,-3.86
"Snow, Eric",AUB_PRC,3,2,1,4,0,0,0,1,0,1,0,0,0,0,0,0.50,33.33%,0.00%,0.67,2.00,2.67,1.50,0.00,0.91,82.56,19.31
"Klepsch, Addison",AUB_TIG,3,2,2,3,1,1,0,0,0,1,0,0,0,0,0,1.00,33.33%,0.00%,1.00,1.50,2.50,0.50,1.00,0.94,98.58,33.71
"Irish, Ike",AUB_TIG,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,33.33%,0.00%,0.33,0.00,0.33,0.00,0.00,0.23,71.83,-31.22
"Guevara, Eric",AUB_TIG,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1.00,0.00%,0.00%,1.00,1.00,2.00,0.00,1.00,0.88,88.27,8.96
"Steele, Lucas",AUB_TIG,3,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0.00,0.00%,0.00%,0.33,0.00,0.33,0.00,0.00,0.24,74.87,13.91
"Johnston, Jett",AUB_TIG,3,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0.33,0.00%,33.33%,0.33,0.33,0.67,0.00,0.50,0.29,94.14,21.92
"Dutton, Andrew",AUB_TIG,3,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0.33,0.00%,0.00%,0.33,0.33,0.67,0.00,0.33,0.29,95.49,19.45
"Waldrop, Tanner",AUB_TIG,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0.33,0.00%,0.00%,0.33,0.33,0.67,0.00,0.33,0.29,83.11,18.65
"Terrell, D'Marion",AUB_PRC,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0.33,0.00%,0.00%,0.33,0.33,0.67,0.00,0.33,0.29,86.84,25.10
"Fabian, Deric",AUB_PRC,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,93.89,18.20
"Stricklin, Cale",AUB_PRC,3,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0.50,33.33%,0.00%,0.67,0.50,1.17,0.00,0.50,0.52,86.60,29.53
"McCraine, Brandon",AUB_PRC,3,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0.50,0.00%,33.33%,0.67,0.50,1.17,0.00,1.00,0.53,89.48,-5.67
"Tralongo, Anthony",AUB_TIG,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00,33.33%,0.00%,0.67,0.00,0.67,0.00,0.00,0.47,74.05,29.23
"Middleton, Taft",AUB_TIG,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00,0.00%,50.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Groves, Nick",NIA_EAG,5,5,3,3,3,0,0,0,0,0,0,0,0,0,1,0.60,0.00%,0.00%,0.60,0.60,1.20,0.00,0.60,0.53,61.87,-6.69
"Desjardins, Brady",NIA_EAG,5,5,2,5,1,0,0,1,4,0,2,0,0,0,0,0.40,0.00%,40.00%,0.40,1.00,1.40,0.60,0.50,0.59,87.62,-2.97
"Rataczak, Eric",NIA_EAG,5,5,3,5,1,2,0,0,1,0,1,0,0,0,0,0.60,0.00%,20.00%,0.60,1.00,1.60,0.40,0.75,0.68,91.57,2.13
"Schrader, Gavin",NIA_EAG,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,84.92,1.93
"Peyton, Jordan",TOW_TIG,5,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0.20,0.00%,20.00%,0.20,0.20,0.40,0.00,0.25,0.18,80.85,41.16
"Dickerson, Elijah",TOW_TIG,5,3,2,2,2,0,0,0,2,2,1,0,0,0,0,0.67,40.00%,20.00%,0.80,0.67,1.47,0.00,1.00,0.63,72.25,8.25
"Frederick, Bryce",TOW_TIG,5,4,3,4,2,1,0,0,1,1,0,0,0,0,0,0.75,20.00%,0.00%,0.80,1.00,1.80,0.25,0.75,0.74,95.23,-4.96
"Heckelman, Brian",TOW_TIG,5,4,1,1,1,0,0,0,1,0,0,0,1,0,0,0.25,0.00%,0.00%,0.20,0.25,0.45,0.00,0.20,0.18,86.95,18.76
"Lawrence, Jack",TOW_TIG,3,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0.00,0.00%,66.67%,0.33,0.00,0.33,0.00,0.00,0.24,34.34,-39.65
"Stefano, Cole",TOW_TIG,4,3,1,1,1,0,0,0,1,0,0,0,1,0,0,0.33,0.00%,0.00%,0.25,0.33,0.58,0.00,0.25,0.22,85.66,2.40
"Janove, Josh",TOW_TIG,4,3,1,1,1,0,0,0,0,0,1,0,0,1,0,0.33,0.00%,25.00%,0.33,0.33,0.67,0.00,0.50,0.29,71.07,-5.85
"Wagner, Jeremy",TOW_TIG,5,3,1,1,1,0,0,0,2,0,2,0,0,1,0,0.33,0.00%,40.00%,0.33,0.33,0.67,0.00,1.00,0.29,61.33,-8.99
"Williamson, Ryan",TOW_TIG,4,4,2,2,2,0,0,0,1,0,1,0,0,0,0,0.50,0.00%,25.00%,0.50,0.50,1.00,0.00,0.67,0.44,79.89,25.33
"Ward, Matt",NIA_EAG,4,3,1,2,0,1,0,0,1,1,1,0,0,0,0,0.33,25.00%,25.00%,0.50,0.67,1.17,0.33,0.50,0.48,73.48,2.87
"Takayoski, Tommy",NIA_EAG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0.00,0.00%,75.00%,0.00,0.00,0.00,0.00,0.00,0.00,84.64,5.73
"Mauro, Vincent",NIA_EAG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00,0.00%,25.00%,0.00,0.00,0.00,0.00,0.00,0.00,98.07,-10.45
"Corl, Kelly",NIA_EAG,4,4,2,2,2,0,0,0,0,0,1,0,0,0,0,0.50,0.00%,25.00%,0.50,0.50,1.00,0.00,0.67,0.44,90.92,25.54
"Monile, Nick",NIA_EAG,4,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0.75,0.00%,0.00%,0.75,0.75,1.50,0.00,0.75,0.66,87.20,-13.86
"Britt, Sean",TOW_TIG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,75.31,45.35
