Player,Team,PA,AB,H,TB,1B,2B,3B,HR,RBI,BB,K,HBP,SF,SH,GDP,AVG,BB%,K%,OBP,SLG,OPS,ISO,BABIP,wOBA,AvgExitVelocity,AvgLaunchAngle
"Holmes, Christian",SOU_SUB,5,4,1,1,1,0,0,0,0,1,1,0,0,0,0,0.25,20.0,20.0,0.4,0.25,0.65,0.0,0.3333333333333333,0.31399999999999995,80.4965775,-2.299516750000001
"Martinez, Anthony",SOU_SUB,5,4,2,2,2,0,0,0,1,0,0,1,0,0,0,0.5,0.0,0.0,0.6,0.5,1.1,0.0,0.5,0.496,77.78576666666666,16.391191833333334
"Lemm, Johnny",SOU_SUB,5,4,0,0,0,0,0,0,1,0,1,0,0,1,0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,75.97557333333334,6.8901635
"Macnamara, Nathaniel",SOU_SUB,5,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0.0,0.0,40.0,0.2,0.0,0.2,0.0,0.0,0.144,59.86373666666666,25.893102666666664
"Guejardo, Alex",ALV_CCO,5,4,1,2,0,1,0,0,3,0,1,1,0,0,0,0.25,0.0,20.0,0.4,0.5,0.9,0.25,0.3333333333333333,0.394,69.011772,18.2327364
"Baker, Cade",ALV_CCO,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,72.654455,11.7494715
"Sowell, Kolbie",ALV_CCO,4,3,2,3,1,1,0,0,0,1,1,0,0,0,0,0.6666666666666666,25.0,25.0,0.75,1.0,1.75,0.33333333333333337,1.0,0.705,75.07892399999999,6.0725172
"Olivarez, JJ",ALV_CCO,4,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0.3333333333333333,25.0,25.0,0.5,0.3333333333333333,0.8333333333333333,0.0,0.5,0.39249999999999996,73.33994714285714,28.18104814285714
"Ballard, Jason",SOU_SUB,4,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0.3333333333333333,25.0,25.0,0.5,0.3333333333333333,0.8333333333333333,0.0,0.5,0.39249999999999996,81.03228,25.008473
"Jones, Shane",SOU_SUB,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,60.38262,-35.486143
