PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-08,15:03:09.54,1,1,"Weiblinger, Reagan",1000243639,Right,ALV_CCO,"Holmes, Christian",813483,Right,SOU_SUB,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.35138,0.642107,-3.295004,2117.831957,237.230403,2:00,5.96777,0.81207,6.30199,-23.26852,10.40843,14.55544,4.62138,-1.01436,82.58162,-3.74271,-0.668114,0.417674,,,,,,,,,,,,-8.40689,5.55477,-0.57612,50,6.00378,6.9508,-131.17817,0.75054,-14.68171,27.16272,-22.47326,ALV_CCO,SOU_SUB,700-HughAdamsPark,JUCO,NJCAA,20240308-700-HughAdamsPark-1,08478230-dd8f-11ee-95c8-6bb71ff6f4b1,90.24361,,,7.76976,,,,,,,be36c0df-88dc-4994-a1c1-aa6469d8e4e6,2024-03-08,21:03:09.54,2024-03-08T15:03:09.5406264-06:00,2024-03-08T21:03:09.5406264Z,,v3,ALV-COM,,,"Rodriguez, Gabriel",1000211946,Right,ALV_CCO,a3472276-957d-4739-b1ee-ba75ad49806a,54.20121,-132.04524,13.58136,5.96837,1.46792,-11.23663,-0.80548,7.41946,-7.34085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-08,15:03:25.43,1,2,"Weiblinger, Reagan",1000243639,Right,ALV_CCO,"Holmes, Christian",813483,Right,SOU_SUB,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.39322,0.97968,-1.564595,2111.917197,229.522162,1:45,5.77823,1.25707,6.13018,-21.26552,13.30402,14.35052,4.91215,1.00627,81.69877,-3.039494,1.02117,0.423173,,,,,,,,,,,,-7.80445,6.92154,-1.14451,50,5.84201,2.95188,-129.89997,1.57373,-13.3584,26.76821,-20.32689,ALV_CCO,SOU_SUB,700-HughAdamsPark,JUCO,NJCAA,20240308-700-HughAdamsPark-1,11bfd330-dd8f-11ee-95c8-6bb71ff6f4b1,89.07093,,,7.69445,,,,,,,be36c0df-88dc-4994-a1c1-aa6469d8e4e6,2024-03-08,21:03:25.43,2024-03-08T15:03:25.4358200-06:00,2024-03-08T21:03:25.4358200Z,,v3,ALV-COM,,,"Rodriguez, Gabriel",1000211946,Right,ALV_CCO,66009956-c774-45d2-a16c-7463e9f41e8e,54.37297,-130.798,13.3841,5.77778,2.25566,-10.16344,-1.25106,3.40003,-6.6792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-08,15:03:40.29,1,3,"Weiblinger, Reagan",1000243639,Right,ALV_CCO,"Holmes, Christian",813483,Right,SOU_SUB,Undefined,1,Top,0,2,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,90.75869,-1.163179,-2.582115,2074.498087,226.463944,1:30,5.88095,0.97306,6.28058,-18.76466,14.44914,14.17146,3.2438,-0.22774,83.48189,-4.715682,-0.022399,0.414792,85.47223,-45.086872,55.669378,,,,,3.66632,0.81556,54.636088,0.035406,-8.03906,8.11709,-0.78893,50,5.78566,5.37676,-131.90602,-3.23455,-14.26123,26.24645,-17.77437,ALV_CCO,SOU_SUB,700-HughAdamsPark,JUCO,NJCAA,20240308-700-HughAdamsPark-1,1a9b9610-dd8f-11ee-95c8-6bb71ff6f4b1,90.87067,3.15291,,7.2768,,,,0.34919,3.15291,0.39407,be36c0df-88dc-4994-a1c1-aa6469d8e4e6,2024-03-08,21:03:40.29,2024-03-08T15:03:40.2995896-06:00,2024-03-08T21:03:40.2995896Z,GroundBall,v3,ALV-COM,,,"Rodriguez, Gabriel",1000211946,Right,ALV_CCO,45a0135c-9d32-42bf-8381-b68aac6a8a62,54.22417,-132.74388,13.12323,5.87986,-2.66714,-8.88719,-0.96784,5.83201,-7.13061,,0.34831,50.06972,,,,,,,,3.15447,-89.05084,,,,,,,,0.39279,73.31526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2024-03-08,15:04:10.70,2,1,"Weiblinger, Reagan",1000243639,Right,ALV_CCO,"Martinez, Anthony",1000319273,Right,SOU_SUB,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Error,0,0,,90.36462,-1.446401,-2.172525,2136.249668,235.308248,1:45,5.81197,1.13369,6.24682,-21.87344,11.51776,15.28017,2.65383,0.40221,83.59014,-5.543608,0.587937,0.415899,93.0816,3.222097,-5.96983,993.560492,,,,69.92997,69.42218,-5.651896,0.540279,-8.52697,6.63599,-0.97951,50,5.69323,4.38381,-131.42594,-4.00363,-15.07987,24.95307,-20.43832,ALV_CCO,SOU_SUB,700-HughAdamsPark,JUCO,NJCAA,20240308-700-HughAdamsPark-1,2cc3b7f0-dd8f-11ee-95c8-6bb71ff6f4b1,90.62891,3.22155,,6.77448,,,,1.07667,2.61959,-0.34436,be36c0df-88dc-4994-a1c1-aa6469d8e4e6,2024-03-08,21:04:10.70,2024-03-08T15:04:10.7009720-06:00,2024-03-08T21:04:10.7009720Z,GroundBall,v3,ALV-COM,,,"Rodriguez, Gabriel",1000211946,Right,ALV_CCO,854f135b-2c62-46ec-a75d-720d8add8b76,54.25944,-132.23218,12.47654,5.81192,-3.34326,-10.21916,-1.12902,4.87105,-7.53994,342.782025,1.08904,135.25696,-15.71494,,,,,,,2.64083,7.14453,-22.33933,,,,,,,-0.34941,-14.05025,3.62519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-03-08,15:04:44.41,3,1,"Weiblinger, Reagan",1000243639,Right,ALV_CCO,"Lemm, Johnny",1000221262,Right,SOU_SUB,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.88119,-0.587181,0.157717,2216.022851,111.356635,9:45,5.80993,1.28147,5.57152,-37.60278,7.84256,-16.39658,2.12782,0.06242,72.46416,-7.497464,-2.770673,0.485195,,,,,,,,,,,,8.33615,4.57433,-1.28409,50,5.73471,0.32203,-114.56374,-2.38556,11.06544,21.40565,-26.10206,ALV_CCO,SOU_SUB,700-HughAdamsPark,JUCO,NJCAA,20240308-700-HughAdamsPark-1,40de8210-dd8f-11ee-95c8-6bb71ff6f4b1,77.68517,,,6.41703,,,,,,,be36c0df-88dc-4994-a1c1-aa6469d8e4e6,2024-03-08,21:04:44.41,2024-03-08T15:04:44.4104888-06:00,2024-03-08T21:04:44.4104888Z,,v3,ALV-COM,,,"Rodriguez, Gabriel",1000211946,Right,ALV_CCO,2e7b6544-12a5-4ce1-8696-4b8dca449a9a,54.93213,-115.48161,10.70283,5.81301,-1.26631,-13.05103,-1.28773,-0.15245,5.53272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-08,15:05:01.39,3,2,"Weiblinger, Reagan",1000243639,Right,ALV_CCO,"Lemm, Johnny",1000221262,Right,SOU_SUB,Undefined,1,Top,1,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.39198,-0.167634,-1.85086,2099.992841,247.052524,2:15,5.76579,1.19093,6.15181,-24.69824,8.92997,18.75611,3.55262,1.0431,83.14266,-4.784554,1.531918,0.417372,,,,,,,,,,,,-10.17304,4.97059,-1.05943,50,5.74023,3.47468,-131.44977,-1.19086,-17.90508,26.31739,-23.42551,ALV_CCO,SOU_SUB,700-HughAdamsPark,JUCO,NJCAA,20240308-700-HughAdamsPark-1,4af499b0-dd8f-11ee-95c8-6bb71ff6f4b1,90.30896,,,7.24932,,,,,,,be36c0df-88dc-4994-a1c1-aa6469d8e4e6,2024-03-08,21:05:01.39,2024-03-08T15:05:01.3925560-06:00,2024-03-08T21:05:01.3925560Z,,v3,ALV-COM,,,"Rodriguez, Gabriel",1000211946,Right,ALV_CCO,8af6d634-9d22-4c41-801d-c72384c93915,54.35344,-132.3185,13.15869,5.76678,-0.4176,-11.71275,-1.18388,4.06572,-8.95254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-08,15:05:22.75,3,3,"Weiblinger, Reagan",1000243639,Right,ALV_CCO,"Lemm, Johnny",1000221262,Right,SOU_SUB,Undefined,1,Top,1,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.78031,-3.016365,-3.447305,1864.636199,252.447999,2:30,5.50336,1.60105,6.34496,-32.65132,5.85248,15.40217,-0.00222,-0.29305,78.65112,-9.023126,-0.658914,0.446605,,,,,,,,,,,,-8.92402,3.98122,-1.35767,50,5.2675,6.80319,-121.7344,-7.40568,-13.66897,19.25273,-26.07597,ALV_CCO,SOU_SUB,700-HughAdamsPark,JUCO,NJCAA,20240308-700-HughAdamsPark-1,57b58600-dd8f-11ee-95c8-6bb71ff6f4b1,84.39777,,,5.12919,,,,,,,be36c0df-88dc-4994-a1c1-aa6469d8e4e6,2024-03-08,21:05:22.75,2024-03-08T15:05:22.7527352-06:00,2024-03-08T21:05:22.7527352Z,,v3,ALV-COM,,,"Rodriguez, Gabriel",1000211946,Right,ALV_CCO,9c2cf918-f1c5-43d7-821c-96f953b856a4,54.16347,-122.3911,9.62637,5.50494,-6.51625,-13.03799,-1.59767,7.26943,-6.83449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-08,15:05:43.70,3,4,"Weiblinger, Reagan",1000243639,Right,ALV_CCO,"Lemm, Johnny",1000221262,Right,SOU_SUB,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.58475,-1.471992,-1.461765,2607.920871,99.353718,9:15,5.61851,1.43288,5.67351,-39.92262,4.22166,-18.0882,0.91843,-1.43768,74.05833,-8.740273,-4.697176,0.478199,,,,,,,,,,,,8.97599,2.8339,-1.29727,50,5.46848,3.61266,-115.68903,-4.25672,12.24435,20.262,-28.30828,ALV_CCO,SOU_SUB,700-HughAdamsPark,JUCO,NJCAA,20240308-700-HughAdamsPark-1,6438f420-dd8f-11ee-95c8-6bb71ff6f4b1,78.82168,,,5.52642,,,,,,,be36c0df-88dc-4994-a1c1-aa6469d8e4e6,2024-03-08,21:05:43.70,2024-03-08T15:05:43.7058744-06:00,2024-03-08T21:05:43.7058744Z,,v3,ALV-COM,,,"Rodriguez, Gabriel",1000211946,Right,ALV_CCO,3076c529-b88e-46b5-b2cf-336502ee5a1b,54.83403,-116.5326,10.131,5.62117,-3.07816,-14.15414,-1.43706,3.10289,6.12218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-08,15:06:09.64,3,5,"Weiblinger, Reagan",1000243639,Right,ALV_CCO,"Lemm, Johnny",1000221262,Right,SOU_SUB,Undefined,1,Top,1,2,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.29845,-3.559547,-4.10156,2060.392555,240.35905,2:00,5.64762,1.32906,6.37411,-23.42741,9.30438,14.71658,0.40738,-1.22506,84.71579,-7.916704,-1.441765,0.411772,,,,,,,,,,,,-8.81811,6.00445,-1.03956,50,5.37842,8.93911,-132.38961,-8.99113,-15.8365,25.11435,-21.39063,ALV_CCO,SOU_SUB,700-HughAdamsPark,JUCO,NJCAA,20240308-700-HughAdamsPark-1,73aacfa0-dd8f-11ee-95c8-6bb71ff6f4b1,91.53726,,,6.58266,,,,,,,be36c0df-88dc-4994-a1c1-aa6469d8e4e6,2024-03-08,21:06:09.64,2024-03-08T15:06:09.6413880-06:00,2024-03-08T21:06:09.6413880Z,,v3,ALV-COM,,,"Rodriguez, Gabriel",1000211946,Right,ALV_CCO,81e4a72f-4abc-4af9-aa83-7b9f8b297496,54.13354,-133.17143,12.55718,5.64795,-8.32522,-10.69532,-1.32551,9.43211,-7.91825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-08,15:06:32.14,3,6,"Weiblinger, Reagan",1000243639,Right,ALV_CCO,"Lemm, Johnny",1000221262,Right,SOU_SUB,Undefined,1,Top,1,3,2,Fastball,Sinker,InPlay,Undefined,Bunt,Sacrifice,1,0,,91.27763,-1.793987,-2.681211,2118.080306,235.203173,1:45,5.70807,1.17429,6.13486,-21.78832,11.12508,14.66146,2.23179,-0.08404,84.40192,-5.863451,-0.039325,0.412912,40.09517,-59.561632,56.756742,,,,,2.70751,1.70547,26.080858,0.044135,-8.29197,6.49059,-0.97706,50,5.55937,5.61787,-132.65413,-4.8632,-14.93724,25.46489,-20.48184,ALV_CCO,SOU_SUB,700-HughAdamsPark,JUCO,NJCAA,20240308-700-HughAdamsPark-1,811171d0-dd8f-11ee-95c8-6bb71ff6f4b1,91.28438,2.26065,,6.8757,,,,1.70362,2.26065,0.07936,be36c0df-88dc-4994-a1c1-aa6469d8e4e6,2024-03-08,21:06:32.14,2024-03-08T15:06:32.1454264-06:00,2024-03-08T21:06:32.1454264Z,GroundBall,v3,ALV-COM,,,"Rodriguez, Gabriel",1000211946,Right,ALV_CCO,e4f802d7-6d18-47b0-9738-2ff10cecd459,54.37122,-133.49061,12.73244,5.70806,-4.1904,-10.24092,-1.16965,6.10854,-7.46862,,1.70243,16.49912,,,,,,,,2.26433,-51.22081,,,,,,,,0.07755,25.17181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
